SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.7833454, -8.615602, 5.318125, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.34495944, -8.633568, 4.9192653, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.267104, -8.055042, 4.482077, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.32938835, -10.450594, 6.725511, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, 0.0011977758, -8.565295, 5.2175117, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.74621433, -7.6274366, 6.0451746, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.3486956, -4.0472846, 8.63237, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.297334, -4.2005997, 7.871783, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.8255532, -3.7155006, 8.447913, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -3.0591195, -3.5070877, 10.214632, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.6363046, -2.056581, 8.5569105, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.8626842, -2.1847432, 9.857695, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.002967, -0.20601743, 9.469616, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -3.2507637, -2.1440187, 7.384288, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.0074723, 2.548867, 7.238159, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.4037932, 3.4232433, 6.9399133, Drinking Water, 
